source,date,category,metric,value,unit,notes,url
UChicago News,2026-02-19,research,team_size,20,people,"A 20-person team led the Niger expeditions and paper",https://news.uchicago.edu/story/hell-heron-dinosaur-discovered-central-sahara
UChicago News,2026-02-19,research,expeditions,2,expeditions,"2019 and 2022 expeditions produced the material",https://news.uchicago.edu/story/hell-heron-dinosaur-discovered-central-sahara
PubMed abstract,2026-02-19,research,spinosaurid_phases,3,phases,"Abstract proposes three phases in spinosaurid evolution",https://pubmed.ncbi.nlm.nih.gov/41712711/
Reuters,2026-02-19,size,body_length,12,m,"Reuters reported about 12 meters long",https://uk.news.yahoo.com/fossils-species-huge-dinosaur-spinosaurus-190110495.html
Natural History Museum,2026-02-19,size,body_length,8,m,"NHM reported around eight metres long",https://www.nhm.ac.uk/discover/news/2026/february/new-sabre-crested-spinosaurus-species-named-from-desert-dinosaur-fossils.html
Reuters,2026-02-19,size,mass,5-7,tonnes,"Reuters reported 5-7 tons",https://uk.news.yahoo.com/fossils-species-huge-dinosaur-spinosaurus-190110495.html
Reuters,2026-02-19,morphology,crest_height,50,cm,"Reuters and other coverage reported the crest at about 50 cm",https://uk.news.yahoo.com/fossils-species-huge-dinosaur-spinosaurus-190110495.html
UChicago Fossil Lab,2026-02-27,operations,lab_size,6000,sqft,"6,000 square foot facility in Washington Park",https://paulsereno.uchicago.edu/fossil_lab/
UChicago Fossil Lab,2026-02-27,operations,open_house_months,8,months,"Open houses run April through November in 2026",https://paulsereno.uchicago.edu/news/fossil_lab_monthly_open_house_starts_in_april/
UChicago Fossil Lab,2026-02-27,operations,educational_assignee_workstreams,3,workstreams,"Specimen database work, fossil preparation, and painting casts",https://paulsereno.uchicago.edu/news/fossil_lab_monthly_open_house_starts_in_april/
UChicago Faculty,2026-07-27,methods,database_programs,1,count,"Ongoing programs and databases support morphologic, phylogenetic, and taxonomic data curation",https://oba.bsd.uchicago.edu/faculty/paul-sereno-phd
Research Associates,2026-07-27,background,math_background,1,count,"Raina DeVries has a BA in Mathematics and works on digital restoration",https://paulsereno.uchicago.edu/fossil_lab/researchers/
Research Associates,2026-07-27,background,econ_background,1,count,"Roland Salatino has an economics minor and volunteers in the lab orbit",https://paulsereno.uchicago.edu/fossil_lab/researchers/
