Time (s),Ux,Uy,Uz,p
1,0.0,1.0,0.0,0.4118579949063297
2,0.0,1.0,0.0,1.0
3,0.0,1.0,0.0,0.8273724632590149
4,0.0,0.8351974939471928,0.0,0.26857296080518706
5,0.0,0.0,0.0,0.0
6,0.0,0.9641337547530789,0.0,0.1782530247895101
7,0.0,0.9371208391724942,0.0,0.4915952595591586
8,0.0,1.0,0.0,0.5996641675338333
9,0.0,0.8967249609778081,0.0,0.4627774544735412
10,0.0,0.46385840518788046,0.0,0.29330148897400027
11,0.0,0.8751058137613964,0.0,0.26151415627878843
12,0.0,1.0,0.0,0.35304221765509275
13,0.0,1.0,0.0,0.4421006615772544
14,0.0,1.0,0.0,0.445612204948759
15,0.0,1.0,0.0,0.38820624108984825
16,0.0,1.0,0.0,0.34379967051652494
17,0.0,1.0,0.0,0.3498263524696255
18,0.0,1.0,0.0,0.3838436639580805
19,0.0,1.0,0.0,0.4049128276826705
20,0.0,1.0,0.0,0.3974507924392329
21,0.0,1.0,0.0,0.37798302706019565
22,0.0,1.0,0.0,0.36865444331232644
23,0.0,1.0,0.0,0.3748508178748097
24,0.0,1.0,0.0,0.3856941899693317
25,0.0,1.0,0.0,0.389655817478721
26,0.0,1.0,0.0,0.38531799034528696
27,0.0,1.0,0.0,0.3794923595459434
28,0.0,1.0,0.0,0.37807064464329937
29,0.0,1.0,0.0,0.3809905531629626
30,0.0,1.0,0.0,0.3841686971041467
31,0.0,1.0,0.0,0.38458039713813524
32,0.0,1.0,0.0,0.3826503016106975
33,0.0,1.0,0.0,0.3808369398055403
34,0.0,1.0,0.0,0.38070345431660496
35,0.0,1.0,0.0,0.3817934013628386
36,0.0,1.0,0.0,0.38267210229061355
37,0.0,1.0,0.0,0.38255138180396797
38,0.0,1.0,0.0,0.3817991838608303
39,0.0,1.0,0.0,0.3812212778092065
40,0.0,1.0,0.0,0.3812010674557062
41,0.0,1.0,0.0,0.3814772170909925
42,0.0,1.0,0.0,0.38163809777921487
43,0.0,1.0,0.0,0.3815415978462806
44,0.0,1.0,0.0,0.3813197907618255
45,0.0,1.0,0.0,0.38117537279845454
46,0.0,1.0,0.0,0.3811585937486523
47,0.0,1.0,0.0,0.3811611597635783
48,0.0,1.0,0.0,0.38108401154140376
49,0.0,1.0,0.0,0.38094024770044627
50,0.0,1.0,0.0,0.38082769109105047
51,0.0,1.0,0.0,0.38081436243007655
52,0.0,1.0,0.0,0.380856109635198
53,0.0,1.0,0.0,0.3808539032739661
54,0.0,1.0,0.0,0.3807575553468189
55,0.0,1.0,0.0,0.38059900516247713
56,0.0,1.0,0.0,0.3804686311640523
57,0.0,1.0,0.0,0.38043085641361984
58,0.0,1.0,0.0,0.38047852868202214
59,0.0,1.0,0.0,0.38052420537316084
60,0.0,1.0,0.0,0.38048421379392383
61,0.0,1.0,0.0,0.3803568779426023
62,0.0,1.0,0.0,0.38020497536016234
63,0.0,1.0,0.0,0.38009215652701084
64,0.0,1.0,0.0,0.38005852577760535
65,0.0,1.0,0.0,0.3800887142684268
66,0.0,1.0,0.0,0.3801416516124018
67,0.0,1.0,0.0,0.38014770832320305
68,0.0,1.0,0.0,0.38008024715372707
69,0.0,1.0,0.0,0.3799536176008238
70,0.0,1.0,0.0,0.37982599366049336
71,0.0,1.0,0.0,0.37974629978205426
72,0.0,1.0,0.0,0.37972044601825433
73,0.0,1.0,0.0,0.379735313415697
74,0.0,1.0,0.0,0.3797550894284628
75,0.0,1.0,0.0,0.37975864400488885
76,0.0,1.0,0.0,0.37972663223256475
77,0.0,1.0,0.0,0.37966282891031666
78,0.0,1.0,0.0,0.3795801309279891
79,0.0,1.0,0.0,0.37950244726145077
80,0.0,1.0,0.0,0.37945064954820096
81,0.0,1.0,0.0,0.3794269930818141
82,0.0,1.0,0.0,0.37941821329818104
83,0.0,1.0,0.0,0.37941340882738356
84,0.0,1.0,0.0,0.37940366264168307
85,0.0,1.0,0.0,0.37938227197244856
86,0.0,1.0,0.0,0.3793491378058171
87,0.0,1.0,0.0,0.3793068225612585
88,0.0,1.0,0.0,0.3792617517440521
89,0.0,1.0,0.0,0.3792208600563614
90,0.0,1.0,0.0,0.3791895701570299
91,0.0,1.0,0.0,0.3791682176208531
92,0.0,1.0,0.0,0.3791520726048548
93,0.0,1.0,0.0,0.379136973213496
94,0.0,1.0,0.0,0.37912022564070536
95,0.0,1.0,0.0,0.37910134681238855
96,0.0,1.0,0.0,0.379080903216951
97,0.0,1.0,0.0,0.37905930813714184
98,0.0,1.0,0.0,0.3790370688527486
99,0.0,1.0,0.0,0.37901437259436377
100,0.0,1.0,0.0,0.3789926996995527
101,0.0,1.0,0.0,0.37897343173888903
102,0.0,1.0,0.0,0.37895678519249965
103,0.0,1.0,0.0,0.37894190917611775
104,0.0,1.0,0.0,0.37892755872307154
105,0.0,1.0,0.0,0.3789134189843785
106,0.0,1.0,0.0,0.3788994404001654
107,0.0,1.0,0.0,0.3788853927571658
108,0.0,1.0,0.0,0.3788713746722515
109,0.0,1.0,0.0,0.37885780036177913
110,0.0,1.0,0.0,0.3788448410683915
111,0.0,1.0,0.0,0.3788322871194968
112,0.0,1.0,0.0,0.3788200220865586
113,0.0,1.0,0.0,0.37880826995531236
114,0.0,1.0,0.0,0.3787972173023884
115,0.0,1.0,0.0,0.37878682901730704
116,0.0,1.0,0.0,0.3787769943659728
117,0.0,1.0,0.0,0.37876760799294307
118,0.0,1.0,0.0,0.3787586267385055
119,0.0,1.0,0.0,0.37875001521078006
120,0.0,1.0,0.0,0.37874172698280834
121,0.0,1.0,0.0,0.37873374817931166
122,0.0,1.0,0.0,0.3787260542704134
123,0.0,1.0,0.0,0.3787186317735569
124,0.0,1.0,0.0,0.37871148108038505
125,0.0,1.0,0.0,0.3787046245083783
126,0.0,1.0,0.0,0.378698111208001
127,0.0,1.0,0.0,0.3786919620983634
128,0.0,1.0,0.0,0.37868615077633194
129,0.0,1.0,0.0,0.37868059651709657
130,0.0,1.0,0.0,0.3786752672649675
131,0.0,1.0,0.0,0.37867016935323866
132,0.0,1.0,0.0,0.3786652848698762
133,0.0,1.0,0.0,0.3786605830037259
134,0.0,1.0,0.0,0.37865604059097147
135,0.0,1.0,0.0,0.37865169517353936
136,0.0,1.0,0.0,0.3786475746931876
137,0.0,1.0,0.0,0.37864365682282675
138,0.0,1.0,0.0,0.3786398949905532
139,0.0,1.0,0.0,0.37863631147184407
140,0.0,1.0,0.0,0.37863292870790116
141,0.0,1.0,0.0,0.3786297397431534
142,0.0,1.0,0.0,0.37862672081357285
143,0.0,1.0,0.0,0.37862386672251935
144,0.0,1.0,0.0,0.37862115050573464
145,0.0,1.0,0.0,0.37861854721715443
146,0.0,1.0,0.0,0.3786160376588066
147,0.0,1.0,0.0,0.37861358890673996
148,0.0,1.0,0.0,0.3786112164830279
149,0.0,1.0,0.0,0.37860896003364247
150,0.0,1.0,0.0,0.37860686075456856
151,0.0,1.0,0.0,0.3786049097591403
152,0.0,1.0,0.0,0.3786030691583684
153,0.0,1.0,0.0,0.378601308210839
154,0.0,1.0,0.0,0.37859962041577805
155,0.0,1.0,0.0,0.37859800741876426
156,0.0,1.0,0.0,0.3785964793877781
157,0.0,1.0,0.0,0.3785950451525079
158,0.0,1.0,0.0,0.37859370135574516
159,0.0,1.0,0.0,0.37859242884094335
160,0.0,1.0,0.0,0.3785912068458523
161,0.0,1.0,0.0,0.378590030554858
162,0.0,1.0,0.0,0.37858888158724385
163,0.0,1.0,0.0,0.3785877567350697
164,0.0,1.0,0.0,0.378586668879599
165,0.0,1.0,0.0,0.37858562260601253
166,0.0,1.0,0.0,0.37858463820261046
167,0.0,1.0,0.0,0.37858371213862807
168,0.0,1.0,0.0,0.37858283671085663
169,0.0,1.0,0.0,0.37858200012411347
170,0.0,1.0,0.0,0.37858119128835516
171,0.0,1.0,0.0,0.37858041304802154
172,0.0,1.0,0.0,0.3785796839884449
173,0.0,1.0,0.0,0.37857901545489814
174,0.0,1.0,0.0,0.37857839638658
175,0.0,1.0,0.0,0.3785778034616452
176,0.0,1.0,0.0,0.37857721684990475
177,0.0,1.0,0.0,0.3785766419238557
178,0.0,1.0,0.0,0.37857608226125683
179,0.0,1.0,0.0,0.3785755431407687
180,0.0,1.0,0.0,0.37857501505834623
181,0.0,1.0,0.0,0.3785744911523592
182,0.0,1.0,0.0,0.37857396913876645
183,0.0,1.0,0.0,0.37857347032471206
184,0.0,1.0,0.0,0.37857299768357877
185,0.0,1.0,0.0,0.3785725415070553
186,0.0,1.0,0.0,0.37857209765883576
187,0.0,1.0,0.0,0.37857166246170754
188,0.0,1.0,0.0,0.3785712345837428
189,0.0,1.0,0.0,0.37857081959338973
190,0.0,1.0,0.0,0.37857041337620395
191,0.0,1.0,0.0,0.3785700268977691
192,0.0,1.0,0.0,0.37856966057784786
193,0.0,1.0,0.0,0.37856931043854647
194,0.0,1.0,0.0,0.3785689653356275
195,0.0,1.0,0.0,0.3785686356209944
196,0.0,1.0,0.0,0.3785683316768458
