Time (s),Ux,Uy,Uz,p
1,0.0,0.0,0.0,0.4270294349665316
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.8260147777367965
4,0.0,0.0,0.0,0.26462483265943715
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.1998876938154038
7,0.0,0.0,0.0,0.5278555764078222
8,0.0,0.0,0.0,0.6285323326470397
9,0.0,0.0,0.0,0.46729956566087827
10,0.0,0.0,0.0,0.28432497849346894
11,0.0,0.0,0.0,0.2629606020817016
12,0.0,0.0,0.0,0.3746889327100273
13,0.0,0.0,0.0,0.47175252035679677
14,0.0,0.0,0.0,0.4656051086587051
15,0.0,0.0,0.0,0.39420954190135815
16,0.0,0.0,0.0,0.34638783929215244
17,0.0,0.0,0.0,0.3606789752325031
18,0.0,0.0,0.0,0.4038160193934733
19,0.0,0.0,0.0,0.42584652767274456
20,0.0,0.0,0.0,0.41229476400611176
21,0.0,0.0,0.0,0.387541723633019
22,0.0,0.0,0.0,0.37880045267301105
23,0.0,0.0,0.0,0.3895869066204666
24,0.0,0.0,0.0,0.4036896209978243
25,0.0,0.0,0.0,0.40695423537038156
26,0.0,0.0,0.0,0.39979834627958977
27,0.0,0.0,0.0,0.39244364875929094
28,0.0,0.0,0.0,0.3920921025315623
29,0.0,0.0,0.0,0.3971493443584759
30,0.0,0.0,0.0,0.40137449324566804
31,0.0,0.0,0.0,0.40111416479888556
32,0.0,0.0,0.0,0.3979327477620486
33,0.0,0.0,0.0,0.3956503679255613
34,0.0,0.0,0.0,0.3961099597689143
35,0.0,0.0,0.0,0.3980889071600844
36,0.0,0.0,0.0,0.3993100177986256
37,0.0,0.0,0.0,0.3988637952435147
38,0.0,0.0,0.0,0.39763006076764934
39,0.0,0.0,0.0,0.3969164445338006
40,0.0,0.0,0.0,0.3971387499509641
41,0.0,0.0,0.0,0.3977155468423995
42,0.0,0.0,0.0,0.39798346884086244
43,0.0,0.0,0.0,0.3978080808055122
44,0.0,0.0,0.0,0.3974937038485409
45,0.0,0.0,0.0,0.39737115366091313
46,0.0,0.0,0.0,0.3974566153721706
47,0.0,0.0,0.0,0.3975200034487671
48,0.0,0.0,0.0,0.39740144181926945
49,0.0,0.0,0.0,0.3971755780781522
50,0.0,0.0,0.0,0.3970464832878014
51,0.0,0.0,0.0,0.39712153201494854
52,0.0,0.0,0.0,0.39728451090838596
53,0.0,0.0,0.0,0.3973335682506393
54,0.0,0.0,0.0,0.39718409383540143
55,0.0,0.0,0.0,0.39691985832494414
56,0.0,0.0,0.0,0.39672741414179474
57,0.0,0.0,0.0,0.3967253717788757
58,0.0,0.0,0.0,0.3968861920887003
59,0.0,0.0,0.0,0.3970317955785818
60,0.0,0.0,0.0,0.39700035909471176
61,0.0,0.0,0.0,0.3967940063133593
62,0.0,0.0,0.0,0.396540536096949
63,0.0,0.0,0.0,0.3963675203733896
64,0.0,0.0,0.0,0.396351137811407
65,0.0,0.0,0.0,0.3964577591228643
66,0.0,0.0,0.0,0.3966034815316565
67,0.0,0.0,0.0,0.3966539208819925
68,0.0,0.0,0.0,0.3965592127761338
69,0.0,0.0,0.0,0.39635009751801065
70,0.0,0.0,0.0,0.396139131648556
71,0.0,0.0,0.0,0.3960198284251517
72,0.0,0.0,0.0,0.39600355630381046
73,0.0,0.0,0.0,0.3960640769388936
74,0.0,0.0,0.0,0.3961320687559044
75,0.0,0.0,0.0,0.3961660804649769
76,0.0,0.0,0.0,0.39613006988512206
77,0.0,0.0,0.0,0.39603235451185226
78,0.0,0.0,0.0,0.39589890996015864
79,0.0,0.0,0.0,0.3957752386990573
80,0.0,0.0,0.0,0.39570023359704654
81,0.0,0.0,0.0,0.39567758832422373
82,0.0,0.0,0.0,0.3956820141062852
83,0.0,0.0,0.0,0.3956925167371116
84,0.0,0.0,0.0,0.3956922106457074
85,0.0,0.0,0.0,0.39566877634534225
86,0.0,0.0,0.0,0.3956224842502744
87,0.0,0.0,0.0,0.3955586567245403
88,0.0,0.0,0.0,0.39548958385014427
89,0.0,0.0,0.0,0.3954281363369082
90,0.0,0.0,0.0,0.3953841502442294
91,0.0,0.0,0.0,0.3953580366310336
92,0.0,0.0,0.0,0.39534089451511767
93,0.0,0.0,0.0,0.3953249277757715
94,0.0,0.0,0.0,0.39530516398653714
95,0.0,0.0,0.0,0.39528077130207145
96,0.0,0.0,0.0,0.39525293963868746
97,0.0,0.0,0.0,0.39522259607700727
98,0.0,0.0,0.0,0.39519076133729125
99,0.0,0.0,0.0,0.3951577901376186
100,0.0,0.0,0.0,0.39512639897567037
101,0.0,0.0,0.0,0.39509913441198147
102,0.0,0.0,0.0,0.39507636418652115
103,0.0,0.0,0.0,0.3950564866637373
104,0.0,0.0,0.0,0.3950371877374269
105,0.0,0.0,0.0,0.39501792381737344
106,0.0,0.0,0.0,0.3949987039416202
107,0.0,0.0,0.0,0.3949791365486831
108,0.0,0.0,0.0,0.39495938900552346
109,0.0,0.0,0.0,0.394940206631892
110,0.0,0.0,0.0,0.3949219000216009
111,0.0,0.0,0.0,0.3949041110654229
112,0.0,0.0,0.0,0.39488665170495646
113,0.0,0.0,0.0,0.39486992796958825
114,0.0,0.0,0.0,0.39485429302177893
115,0.0,0.0,0.0,0.394839691971236
116,0.0,0.0,0.0,0.3948259192501157
117,0.0,0.0,0.0,0.3948127856483091
118,0.0,0.0,0.0,0.3948002027465483
119,0.0,0.0,0.0,0.3947881292278276
120,0.0,0.0,0.0,0.3947764875303545
121,0.0,0.0,0.0,0.394765244729956
122,0.0,0.0,0.0,0.3947543356255843
123,0.0,0.0,0.0,0.3947437528620634
124,0.0,0.0,0.0,0.3947335247838316
125,0.0,0.0,0.0,0.39472370653565014
126,0.0,0.0,0.0,0.3947143817038257
127,0.0,0.0,0.0,0.3947055793134505
128,0.0,0.0,0.0,0.3946972564085363
129,0.0,0.0,0.0,0.3946893316224776
130,0.0,0.0,0.0,0.3946817832022991
131,0.0,0.0,0.0,0.3946745947711463
132,0.0,0.0,0.0,0.3946676903746639
133,0.0,0.0,0.0,0.39466101312858154
134,0.0,0.0,0.0,0.3946545369607076
135,0.0,0.0,0.0,0.3946483348877228
136,0.0,0.0,0.0,0.3946424595700253
137,0.0,0.0,0.0,0.39463689450768086
138,0.0,0.0,0.0,0.3946315528587427
139,0.0,0.0,0.0,0.3946264750057444
140,0.0,0.0,0.0,0.394621704116929
141,0.0,0.0,0.0,0.39461721508467656
142,0.0,0.0,0.0,0.3946129586030772
143,0.0,0.0,0.0,0.3946089329534771
144,0.0,0.0,0.0,0.3946050959146554
145,0.0,0.0,0.0,0.39460141571740903
146,0.0,0.0,0.0,0.394597849852848
147,0.0,0.0,0.0,0.3945943631209483
148,0.0,0.0,0.0,0.3945909614450608
149,0.0,0.0,0.0,0.3945877076221003
150,0.0,0.0,0.0,0.39458466017119587
151,0.0,0.0,0.0,0.3945818165422309
152,0.0,0.0,0.0,0.3945791432601464
153,0.0,0.0,0.0,0.39457658218688474
154,0.0,0.0,0.0,0.394574128921598
155,0.0,0.0,0.0,0.3945718065417119
156,0.0,0.0,0.0,0.39456960896669085
157,0.0,0.0,0.0,0.3945675148693736
158,0.0,0.0,0.0,0.3945655221965496
159,0.0,0.0,0.0,0.3945636112841184
160,0.0,0.0,0.0,0.3945617976368439
161,0.0,0.0,0.0,0.39456009877305026
162,0.0,0.0,0.0,0.39455845491278635
163,0.0,0.0,0.0,0.3945568166389475
164,0.0,0.0,0.0,0.3945552059699315
165,0.0,0.0,0.0,0.39455366358052296
166,0.0,0.0,0.0,0.3945522565221833
167,0.0,0.0,0.0,0.3945509980877889
168,0.0,0.0,0.0,0.39454984599851295
169,0.0,0.0,0.0,0.39454875770663744
170,0.0,0.0,0.0,0.39454771644614456
171,0.0,0.0,0.0,0.39454670622521454
172,0.0,0.0,0.0,0.39454574696859224
173,0.0,0.0,0.0,0.39454484785706
174,0.0,0.0,0.0,0.39454398926752454
175,0.0,0.0,0.0,0.39454316509494464
176,0.0,0.0,0.0,0.3945423672964378
177,0.0,0.0,0.0,0.3945416051490319
178,0.0,0.0,0.0,0.39454087444887276
179,0.0,0.0,0.0,0.3945401439514262
180,0.0,0.0,0.0,0.3945393964687064
181,0.0,0.0,0.0,0.39453863011354434
182,0.0,0.0,0.0,0.3945378428807762
183,0.0,0.0,0.0,0.39453706659171667
184,0.0,0.0,0.0,0.39453630341077955
185,0.0,0.0,0.0,0.3945355413698052
186,0.0,0.0,0.0,0.3945347892155428
187,0.0,0.0,0.0,0.39453404518142804
188,0.0,0.0,0.0,0.39453331114201873
189,0.0,0.0,0.0,0.3945326096790855
190,0.0,0.0,0.0,0.3945319141427208
191,0.0,0.0,0.0,0.3945312525631989
192,0.0,0.0,0.0,0.3945306305375454
193,0.0,0.0,0.0,0.39453006279550273
194,0.0,0.0,0.0,0.3945295313632017
195,0.0,0.0,0.0,0.3945290527754972
196,0.0,0.0,0.0,0.39452860527688643
197,0.0,0.0,0.0,0.3945281797086565
198,0.0,0.0,0.0,0.3945277726733357
199,0.0,0.0,0.0,0.3945273881630675
200,0.0,0.0,0.0,0.39452702785528676
201,0.0,0.0,0.0,0.39452667488681925
202,0.0,0.0,0.0,0.3945263447636536
203,0.0,0.0,0.0,0.394526057972833
204,0.0,0.0,0.0,0.39452578183930626
205,0.0,0.0,0.0,0.39452548553667066
206,0.0,0.0,0.0,0.3945252115663487
207,0.0,0.0,0.0,0.39452498901239974
208,0.0,0.0,0.0,0.3945248196703607
209,0.0,0.0,0.0,0.3945246490685678
210,0.0,0.0,0.0,0.3945244452573977
