Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",1.381675134985e+01,1.461474497353e+00,-2.195592242687e+01,1.516597811666e+01,1.439685358444e+00,-2.183293037899e+01,1.349226766805e+00,-2.178913890843e-02,1.229920478784e-01
"                   2",2.200885220812e+01,2.575164585413e+00,-4.837214498673e+01,2.349664482504e+01,2.571465398879e+00,-4.826221787777e+01,1.487792616926e+00,-3.699186534160e-03,1.099271089602e-01
"                   3",-1.204177318997e+01,8.878197448051e-01,-3.089737985972e+01,-1.072866744276e+01,8.870049238087e-01,-3.080546280095e+01,1.313105747214e+00,-8.148209963346e-04,9.191705877586e-02
"                   4",-5.408469103050e+01,-2.295737854728e+00,9.648200566087e+00,-5.283234182300e+01,-2.293553118733e+00,9.732906281551e+00,1.252349207500e+00,2.184735994927e-03,8.470571546339e-02
"                   5",-5.867245871130e+01,-5.075903949344e+00,3.341141388257e+01,-5.755400837296e+01,-5.070636185532e+00,3.348779069783e+01,1.118450338337e+00,5.267763812742e-03,7.637681526368e-02
"                   6",-2.517471124517e+01,-5.000289724994e+00,2.627947869064e+01,-2.422868142515e+01,-4.998756873021e+00,2.635223053445e+01,9.460298200215e-01,1.532851973067e-03,7.275184381512e-02
"                   7",1.084770809858e+01,-2.737716962718e+00,2.202300604985e+00,1.162678896121e+01,-2.743690790554e+00,2.272873273677e+00,7.790808626358e-01,-5.973827836048e-03,7.057266869193e-02
"                   8",1.706897385618e+01,-6.378713201386e-01,-1.613135021097e+01,1.771693745381e+01,-6.538511160942e-01,-1.606479673233e+01,6.479635976263e-01,-1.597979595564e-02,6.655347864508e-02
"                   9",-4.329233121236e+00,-7.252478140940e-01,-1.607013006260e+01,-3.780862806134e+00,-7.493826289798e-01,-1.600856916548e+01,5.483703151021e-01,-2.413481488582e-02,6.156089711933e-02
"                  10",-2.600457022639e+01,-2.368292784778e+00,-3.195412643481e+00,-2.551668552244e+01,-2.395470329128e+00,-3.141741131972e+00,4.878847039479e-01,-2.717754434966e-02,5.367151150949e-02
"                  11",-2.689896381545e+01,-3.678135058161e+00,7.986704914564e+00,-2.644713546226e+01,-3.705407042982e+00,8.035354246119e+00,4.518283531898e-01,-2.727198482088e-02,4.864933155570e-02
"                  12",-1.186920567986e+01,-3.748485627862e+00,8.487591938257e+00,-1.144197786967e+01,-3.774638818570e+00,8.532667672418e+00,4.272278101963e-01,-2.615319070866e-02,4.507573416107e-02
"                  13",3.453161929467e-01,-2.939861491505e+00,7.951730167140e-01,7.549392670781e-01,-2.965116521058e+00,8.369842558389e-01,4.096230741314e-01,-2.525502955322e-02,4.181123912490e-02
"                  14",-1.385427103878e+00,-2.007218175648e+00,-6.799960462246e+00,-9.933911265864e-01,-2.032580437793e+00,-6.760823618776e+00,3.920359772920e-01,-2.536226214468e-02,3.913684347002e-02
"                  15",-1.353030809002e+01,-1.621721214852e+00,-8.060039617134e+00,-1.315744849856e+01,-1.646312664370e+00,-8.022970845177e+00,3.728595914602e-01,-2.459144951869e-02,3.706877195688e-02
"                  16",-2.443153475834e+01,-1.936841219244e+00,-3.299312269766e+00,-2.408222927761e+01,-1.960255348716e+00,-3.263740538356e+00,3.493054807315e-01,-2.341412947198e-02,3.557173141022e-02
"                  17",-2.740414826500e+01,-2.514915311919e+00,2.254944999328e+00,-2.708143407504e+01,-2.537785765916e+00,2.289544087141e+00,3.227141899544e-01,-2.287045399692e-02,3.459908781334e-02
"                  18",-2.441986727343e+01,-2.786017095044e+00,4.347396833743e+00,-2.412265799560e+01,-2.809084582118e+00,4.381120574797e+00,2.972092778219e-01,-2.306748707392e-02,3.372374105433e-02
"                  19",-2.080244913021e+01,-2.647969970902e+00,2.741023458699e+00,-2.052768630889e+01,-2.672289791096e+00,2.773026520179e+00,2.747628213189e-01,-2.431982019423e-02,3.200306147978e-02
"                  20",-2.030417073976e+01,-2.290602156590e+00,-2.555675456986e-02,-2.005040987623e+01,-2.317201134970e+00,3.703624495870e-03,2.537608635289e-01,-2.659897838031e-02,2.926037906573e-02
"                  21",-2.339416969253e+01,-2.040968335883e+00,-1.383665348212e+00,-2.316031642626e+01,-2.070103381403e+00,-1.357687203945e+00,2.338532662655e-01,-2.913504552010e-02,2.597814426703e-02
"                  22",-2.769212847526e+01,-1.974673644293e+00,-8.006016853112e-01,-2.748019327914e+01,-2.006444441490e+00,-7.780215430724e-01,2.119351961119e-01,-3.177079719756e-02,2.258014223879e-02
