Time (s),Ux,Uy,Uz,k,omega,p
1,1.0,0.999999999981,0.00228342236083,1.0
2,0.330738644747,0.0974539005756,0.356559420052,0.285190231128,0.00396127674005,0.776782792648
3,0.42950600018,0.430134335896,0.440042346113,0.175675645614,0.0047865760668,0.171237958657
4,0.269240018177,0.22468914832,0.295861981015,0.1182461542,0.00431570374032,0.116330398569
5,0.333139564721,0.065129946614,0.359459279509,0.0900759725197,0.00429959578903,0.349616142479
6,0.219438881915,0.29267672204,0.225337319128,0.0720831855534,0.00463111269067,0.203459210838
7,0.211798996281,0.19753519848,0.223364203405,0.0591433878816,0.00383030479007,0.233407486603
8,0.340421669477,0.103667149229,0.370010839976,0.0489780842973,0.00285973408418,0.253372599999
9,0.225932274871,0.150582398594,0.262367630142,0.0421832004836,0.00222330234084,0.180020467801
10,0.205013955952,0.0538752284497,0.254847028924,0.03787501017,0.00182639671146,0.306843569731
11,0.208944419812,0.0694918584086,0.234376271323,0.0347782839887,0.00163476805407,0.251689715966
12,0.123719000497,0.095641039315,0.134023831825,0.03071589061,0.00144188637697,0.201496948855
13,0.161275256743,0.0277913449329,0.1751418587,0.0270956197113,0.00125155709245,0.432089146318
14,0.184050368612,0.0541827297585,0.206440538409,0.0248377723847,0.00112636054519,0.262259450962
15,0.137762206042,0.0475894844638,0.167632034433,0.0232068537743,0.00101124557878,0.254659410061
16,0.143612924416,0.014374057802,0.167729701253,0.0216943479637,0.000919915200523,0.560893729601
17,0.126424544883,0.0358292101072,0.143683579225,0.0201813152912,0.000855469189982,0.284244493774
18,0.0990803069415,0.02747169987,0.109639857867,0.0188309026324,0.000794183577909,0.320337877463
19,0.1126775854,0.0155694008546,0.124161025397,0.0177770423481,0.000745179451641,0.457702017255
20,0.1108893092,0.0243113637755,0.127697102523,0.0169265723708,0.00071313798314,0.311734081231
21,0.108398875917,0.0153428440912,0.126687304168,0.0161336864221,0.000689323179559,0.394360490815
22,0.11117985376,0.0131561031977,0.126373321014,0.0153386571559,0.000674736689471,0.43647837666
23,0.0952546879773,0.0161599046558,0.109741070531,0.0145814346771,0.000667695581151,0.363178209147
24,0.0822307199824,0.0101445474816,0.0944330693459,0.0139295690104,0.00066283908888,0.487718973646
25,0.0823078303016,0.0111925249185,0.0939225519314,0.0133881364903,0.000662145274916,0.417765913186
26,0.0831551571108,0.0112907139287,0.100746186775,0.0129160277922,0.000664965061535,0.397744559308
27,0.0841887274413,0.00796011939478,0.104751740323,0.0124708976126,0.000667708263965,0.528679486825
28,0.0806881738645,0.00903635072133,0.100811453007,0.0120480515848,0.000669391232387,0.449464533871
29,0.0701568303461,0.00831153130108,0.0871527827483,0.0116636758159,0.000669738464202,0.468352718622
30,0.0641929108633,0.00718977986121,0.0784422859398,0.0113294612555,0.000668304026546,0.478835806433
31,0.0649780594387,0.00759008618573,0.0817195068525,0.0110361006926,0.000665912152152,0.41381451887
32,0.065541602807,0.00672052962004,0.0872686573641,0.0107749342191,0.000662565843131,0.443750719636
33,0.0625716632565,0.00646191712512,0.0861357028908,0.0105339557464,0.000657587217565,0.504238045057
34,0.0572606338537,0.00640949024974,0.077605192573,0.0103042237037,0.00065115401607,0.462565126385
35,0.0531549526428,0.00598222361341,0.0684052918578,0.010081186259,0.000643356041682,0.502246455958
36,0.0529427861421,0.00574876532196,0.0672459064526,0.00987029863519,0.00063476566524,0.431296662126
37,0.0543789514028,0.00554441104506,0.0696846542444,0.00967807816713,0.000625731355318,0.410131204836
38,0.0545957333385,0.00539175383924,0.0688926961035,0.0095017965516,0.000616330649968,0.436190155568
39,0.051848144642,0.00528909515185,0.0637223503393,0.00932763682267,0.000606329383945,0.472805196066
40,0.0486461941329,0.00508535835728,0.0570537191478,0.00915139887136,0.000595918026236,0.470849638861
41,0.0477136500534,0.00480489476905,0.0534206581864,0.00897910635318,0.000585397950169,0.431721358741
42,0.0487375114533,0.00459419805435,0.0542320177204,0.00881410034274,0.000574810179397,0.399260849388
43,0.0487740738723,0.00452405406466,0.0542400776641,0.00865843370563,0.000564259249316,0.397088043816
44,0.0470942678149,0.00444329625867,0.0511025300791,0.00850299994564,0.000553956603641,0.413998649261
45,0.0451914330546,0.00435127418108,0.0460100523209,0.0083465538986,0.000544059099401,0.426223467
