source,metric,statistic,value,unit,sample_count
residuals,Ux,final,1.6156255683e-05,-,1
residuals,Uy,final,9.32930881162e-07,-,1
residuals,Uz,final,1.56915573457e-05,-,1
residuals,k,final,9.93547617317e-05,-,1
residuals,omega,final,3.71809871183e-07,-,1
residuals,p,final,0.000189229670258,-,1
forces,PRESSURE_FORCE_X,mean,-12.278857610668801,N,200
forces,PRESSURE_FORCE_X,std,0.07872337137176208,N,200
forces,PRESSURE_FORCE_X,final,-12.25724737246,N,1
forces,PRESSURE_FORCE_Y,mean,267.926039162041,N,200
forces,PRESSURE_FORCE_Y,std,0.10843595335867569,N,200
forces,PRESSURE_FORCE_Y,final,268.0950012569,N,1
forces,PRESSURE_FORCE_Z,mean,177.23584299078252,N,200
forces,PRESSURE_FORCE_Z,std,0.07793746659965538,N,200
forces,PRESSURE_FORCE_Z,final,177.362457906,N,1
forces,TOTAL_FORCE_X,mean,-12.300133187971301,N,200
forces,TOTAL_FORCE_X,std,0.07869436986825537,N,200
forces,TOTAL_FORCE_X,final,-12.27842684456,N,1
forces,TOTAL_FORCE_Y,mean,287.63633389698555,N,200
forces,TOTAL_FORCE_Y,std,0.1797463204575478,N,200
forces,TOTAL_FORCE_Y,final,287.9129533294,N,1
forces,TOTAL_FORCE_Z,mean,177.34801949461746,N,200
forces,TOTAL_FORCE_Z,std,0.07013607080787808,N,200
forces,TOTAL_FORCE_Z,final,177.4616619235,N,1
forces,VISCOUS_FORCE_X,mean,-0.021275577302625498,N,200
forces,VISCOUS_FORCE_X,std,0.0008437877600842553,N,200
forces,VISCOUS_FORCE_X,final,-0.02117947210186,N,1
forces,VISCOUS_FORCE_Y,mean,19.71029473494335,N,200
forces,VISCOUS_FORCE_Y,std,0.07167003307661564,N,200
forces,VISCOUS_FORCE_Y,final,19.81795207257,N,1
forces,VISCOUS_FORCE_Z,mean,0.1121765038335284,N,200
forces,VISCOUS_FORCE_Z,std,0.008398101391928347,N,200
forces,VISCOUS_FORCE_Z,final,0.0992040174896,N,1
moments,PRESSURE_MOMENT_X,mean,-25.304943249336347,N m,200
moments,PRESSURE_MOMENT_X,std,0.04325060241782973,N m,200
moments,PRESSURE_MOMENT_X,final,-25.37514854478,N m,1
moments,PRESSURE_MOMENT_Y,mean,3.2149789565360107,N m,200
moments,PRESSURE_MOMENT_Y,std,0.019660668452423712,N m,200
moments,PRESSURE_MOMENT_Y,final,3.193739055544,N m,1
moments,PRESSURE_MOMENT_Z,mean,-2.9821029760384397,N m,200
moments,PRESSURE_MOMENT_Z,std,0.023972336950320222,N m,200
moments,PRESSURE_MOMENT_Z,final,-2.974334930619,N m,1
moments,TOTAL_MOMENT_X,mean,-25.8356101815075,N m,200
moments,TOTAL_MOMENT_X,std,0.03644423333568211,N m,200
moments,TOTAL_MOMENT_X,final,-25.89516864938,N m,1
moments,TOTAL_MOMENT_Y,mean,3.256696967397035,N m,200
moments,TOTAL_MOMENT_Y,std,0.01972105615283772,N m,200
moments,TOTAL_MOMENT_Y,final,3.235268968553,N m,1
moments,TOTAL_MOMENT_Z,mean,-2.9932372965098146,N m,200
moments,TOTAL_MOMENT_Z,std,0.023736801935007792,N m,200
moments,TOTAL_MOMENT_Z,final,-2.986165643502,N m,1
moments,VISCOUS_MOMENT_X,mean,-0.5306669321710545,N m,200
moments,VISCOUS_MOMENT_X,std,0.007017294992254594,N m,200
moments,VISCOUS_MOMENT_X,final,-0.5200201046001,N m,1
moments,VISCOUS_MOMENT_Y,mean,0.04171801086102625,N m,200
moments,VISCOUS_MOMENT_Y,std,0.00014828086010285445,N m,200
moments,VISCOUS_MOMENT_Y,final,0.04152991300944,N m,1
moments,VISCOUS_MOMENT_Z,mean,-0.011134320471416626,N m,200
moments,VISCOUS_MOMENT_Z,std,0.0005887343211584037,N m,200
moments,VISCOUS_MOMENT_Z,final,-0.01183071288255,N m,1
