Time (s),Ux,Uy,Uz,p
1,0.45777498326346977,1.0,0.28429747048789206,0.0
2,0.3138746794762656,0.5905067766973651,0.23794644159434233,0.03929854158482893
3,0.2092844538782093,0.08917315737654549,0.1516739211363898,0.6073979387224215
4,0.21094760033247298,0.0,0.12484901262866406,1.0
5,0.3166140758300575,0.23321197390035636,0.16464213744617817,0.8679921738782455
6,0.4168346879553983,0.4409118305251385,0.21337286096396985,0.4779924411009925
7,0.41927658523841727,0.435293052622517,0.2199883241136507,0.2925177053284625
8,0.3463776219344925,0.2981482324084849,0.1864627508151712,0.4752880563161059
9,0.27738216300920826,0.2153167139165469,0.14982126825497577,0.7939284045097353
10,0.2762225388532264,0.26092077885498544,0.1399123011386363,0.9355562894429323
11,0.33378148837305616,0.3561994637237821,0.15620962301120728,0.8314844440544483
12,0.3831946779765571,0.3948898997051904,0.1767153883533853,0.6541067074923617
13,0.3900178205174631,0.35707278895616573,0.18257160268455386,0.5887026676122739
14,0.36209603877955976,0.30383964432967164,0.17452111397745015,0.6573074475080702
15,0.3339874919644629,0.2931334351762212,0.16633156460877996,0.7464328179452061
16,0.33336589616700296,0.32401396326291954,0.1663855598925702,0.7569589592742288
17,0.3598518726672493,0.35501626346889703,0.17237157855177113,0.697544171236948
18,0.3934266225297601,0.35774154154849286,0.17810603987126414,0.6438730241431071
19,0.41514738268956286,0.33937740242924386,0.1801692267257706,0.6455070012979799
20,0.4250161501887691,0.3235707489005678,0.179814359072778,0.6852824777642831
21,0.4335029135563223,0.3230182785142384,0.18071187232798194,0.7150948338900059
22,0.4460963027497735,0.332836906739174,0.18421256687840126,0.7096799545180247
23,0.4602876789845907,0.3412325181888796,0.1886491482310352,0.6828130210179814
24,0.4721013866942358,0.3417451358816815,0.19178236127493067,0.6631206193321528
25,0.4810453425540654,0.336886812432417,0.19294888185227424,0.664004317067708
26,0.49021887586552443,0.3330574972694263,0.19353754033711992,0.6772797669978771
27,0.5012360164898709,0.33484133454439274,0.19486120952267516,0.685681340250781
28,0.5132999764705432,0.34045145962331586,0.19678676907302955,0.6803974009098634
29,0.5248944894120551,0.3443697881707731,0.19840617018843237,0.6676927268186731
30,0.5329074641640078,0.34293414234008696,0.19907115210805448,0.6598293871024609
31,0.5366904851132839,0.3383833669134694,0.1986737671143925,0.6623755189768129
32,0.538821224150838,0.3356050874625597,0.19786740344939155,0.6696640428445149
33,0.5398232431955712,0.33662155706330693,0.1970099091137228,0.6741007022390803
34,0.5371604807864744,0.3393755724584845,0.1960245115044894,0.6737292582733719
35,0.5319961401312895,0.3401761055266818,0.19454980759718732,0.6742055034755395
36,0.5250982555183088,0.33946210069847865,0.19213045354119868,0.6786992409231525
37,0.5202947280891402,0.338543862113693,0.18883667516172226,0.6845326073389185
38,0.516158478621839,0.3358208206650252,0.18502162375290454,0.6906645474866574
39,0.5098417558018342,0.33092506189001086,0.181024271512622,0.6973003114560667
40,0.4993664433176601,0.3259554039324651,0.17664042368133898,0.7058974711472974
41,0.48772086406573767,0.32770589507660397,0.17166490799008774,0.7125610411277516
42,0.4697458588567924,0.3329795088929759,0.16680168270579795,0.7150963800926825
43,0.4477152282008188,0.3390000670082098,0.16241524441160482,0.7160045976622139
44,0.4329861505503362,0.34268770629789075,0.1579568773871297,0.7177075834274099
45,0.42415010917013274,0.3423264565447505,0.15317946226973686,0.7219408602633718
46,0.40967535293967916,0.34217474972261824,0.14886337916712267,0.7237305973641638
47,0.382743293085329,0.3382161618214647,0.14423808747793984,0.726799330885353
48,0.35907570823883195,0.33606018533873155,0.13902392163473157,0.7324469246243607
49,0.353289017947573,0.340892572908129,0.13336979294602744,0.7336830242413491
50,0.3479365772430837,0.3421689209268662,0.12892642813474495,0.7367785666539496
51,0.32824742591440637,0.33872846322302413,0.12552032048003892,0.7468796400477253
52,0.29986300925014486,0.3318987192148913,0.12127336861158533,0.7639290409702721
53,0.28105213729769984,0.32831355827970876,0.11519160038560888,0.7806043210134777
54,0.27707164501490394,0.3296010668588484,0.10894748191928362,0.7902790834144061
55,0.27073513107941183,0.33244041310674877,0.10223411933618554,0.7934361728354118
56,0.261437214877892,0.33201233553856385,0.09523671703431688,0.7986997977367521
57,0.25196218005300436,0.3291688775045128,0.08938601901109637,0.8104007981415066
58,0.2449410870098886,0.32776420562133984,0.08342583677626712,0.8271160166486723
59,0.2429744578334129,0.33160463616026975,0.07705556576951018,0.8395621605796931
60,0.24313357247769263,0.3311573551962305,0.06999008026797889,0.8439264336091767
61,0.2471362570544655,0.32441845454432683,0.06456808653142482,0.8460759990914265
62,0.2503575546627688,0.3212740228260204,0.058721080825834604,0.8424477999753496
63,0.2516669053293801,0.32431346845312436,0.051685606453560864,0.8310123254386689
64,0.261587461176206,0.32648722502011795,0.04548650347621419,0.8206654138214547
65,0.2653485244503667,0.325746990613037,0.038906133176276274,0.8195136889909143
66,0.2538242586420076,0.3261899112773813,0.031587271452113236,0.8212115361819582
67,0.23243464966368188,0.3293492086820721,0.023789223934810005,0.816675995036724
68,0.227142118250727,0.333559315876528,0.019094837256405008,0.7993620599040446
69,0.24315117939680447,0.3345376046078825,0.015694592851206692,0.778693697668898
70,0.2685958448851679,0.3344483201166368,0.009693758484080335,0.765240210236806
71,0.27835487658025176,0.3364876077332034,0.003602562906149354,0.7596570838396614
72,0.2678114616794821,0.34067293125060044,0.0,0.7574020693043274
73,0.2626607959745304,0.3435244998947916,8.928894418206798e-05,0.7574181513126422
74,0.2752548417206044,0.3425912374769971,0.0021064655283338242,0.7605272185774765
75,0.2950947023783346,0.3392028548629734,0.0045579804322390715,0.7653698203229337
76,0.3131915236990722,0.3368974307802644,0.007879631476768055,0.7679743532732377
77,0.32017929060277217,0.3366356094293538,0.013195370655161978,0.766086825187247
78,0.3225218398389876,0.3368682190268158,0.021398459937155764,0.7627257460952581
79,0.3322948747017831,0.3363885859901393,0.031809625676201006,0.7636824956538087
80,0.3503523570030382,0.33596667610017716,0.044123159684888516,0.7704494995035882
81,0.3707928549692403,0.3359454394034791,0.05818002064515237,0.7805515582708139
82,0.3873565649559224,0.3364907028679289,0.07405133054519171,0.788410531883819
83,0.40129456444547246,0.33698890671797505,0.09245052687293685,0.7914659462084738
84,0.41639695746260225,0.3367052612743514,0.11399755364884215,0.7916760206883618
85,0.4391326018662136,0.3362177435488475,0.13799078792792163,0.7915747060677022
86,0.46458174046603007,0.3364578085817333,0.16380433217230242,0.791542148582803
87,0.4878142121697503,0.3376690683862555,0.192324297739784,0.7905193414877031
88,0.510816216774081,0.33839985924153204,0.22316453310334716,0.7894172051577161
89,0.539398249139385,0.3380354917604314,0.25687619521924154,0.7908258441833806
90,0.5761275607391972,0.33718164102967796,0.29368319168914764,0.7948631854238124
91,0.6184409653052302,0.3365549551695749,0.33266471641265033,0.8003400125415736
92,0.6608579410243715,0.33675584527588104,0.3735276255070275,0.8046868744194491
93,0.7006012567897579,0.3376125200355842,0.4156431495453655,0.8061900039174449
94,0.7409462372212121,0.33833043331985363,0.45887296934917315,0.8061326267675601
95,0.7857392872091667,0.3377131458260884,0.5032377519325043,0.8091248972243948
96,0.834670210484625,0.33697623247705233,0.5484113857386566,0.8147544133635487
97,0.8800634787544995,0.33684648530202593,0.5935094829249118,0.8203241265986941
98,0.916344975250387,0.3377897334851831,0.6376570450710235,0.8232699266277661
99,0.9428671603141551,0.33837934549724835,0.680265062533041,0.8256941095177683
100,0.9631678212309179,0.33895687066540914,0.7204801008487655,0.8281911021614977
101,0.9813111692117443,0.3395720344884009,0.7573487773479585,0.8319587600287548
102,0.995199462451497,0.3412139699687449,0.7909034837603437,0.8343788670291322
103,1.0,0.3423677099566371,0.8214526976885601,0.8353217960533132
104,0.9934341897474314,0.34243921436362246,0.8481506431296769,0.8372776237651366
105,0.9783095292883953,0.3425559710064838,0.8698169922664623,0.83941436602477
106,0.9593475611224574,0.34289711367550907,0.8863416406968682,0.8401469806680043
107,0.937925713187276,0.3431528803083516,0.8986511663482206,0.8392237749455557
