Time (s),Ux,Uy,Uz,p
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.03382504125066426
3,0.0,0.0,0.0,0.4210696225953816
4,0.0,0.0,0.0,0.7117878160376994
5,0.0,0.0,0.0,0.7015124450492173
6,0.0,0.0,0.0,0.5372567987465862
7,0.0,0.0,0.0,0.46592357486704544
8,0.0,0.0,0.0,0.5714009916635824
9,0.0,0.0,0.0,0.7326522870913087
10,0.0,0.0,0.0,0.7932561880876584
11,0.0,0.0,0.0,0.7297666081714573
12,0.0,0.0,0.0,0.6413279327349988
13,0.0,0.0,0.0,0.6214676811866691
14,0.0,0.0,0.0,0.670963845077353
15,0.0,0.0,0.0,0.7234472549308301
16,0.0,0.0,0.0,0.7277320950147077
17,0.0,0.0,0.0,0.6942982349178353
18,0.0,0.0,0.0,0.6668730897131575
19,0.0,0.0,0.0,0.6713089051046383
20,0.0,0.0,0.0,0.6964654213952766
21,0.0,0.0,0.0,0.7155206407557761
22,0.0,0.0,0.0,0.7149100697672145
23,0.0,0.0,0.0,0.7016741925770271
24,0.0,0.0,0.0,0.6910738748255928
25,0.0,0.0,0.0,0.6911268763733813
26,0.0,0.0,0.0,0.6988703982088412
27,0.0,0.0,0.0,0.7051525598109007
28,0.0,0.0,0.0,0.7042504818793296
29,0.0,0.0,0.0,0.6988888785271707
30,0.0,0.0,0.0,0.6962156912411531
31,0.0,0.0,0.0,0.7000072833787926
32,0.0,0.0,0.0,0.707102417034369
33,0.0,0.0,0.0,0.712832355601598
34,0.0,0.0,0.0,0.7156567455769248
35,0.0,0.0,0.0,0.7189726385572197
36,0.0,0.0,0.0,0.7245063845989359
37,0.0,0.0,0.0,0.730773706539093
38,0.0,0.0,0.0,0.7375221869719649
39,0.0,0.0,0.0,0.7453964603400481
40,0.0,0.0,0.0,0.755082687523853
41,0.0,0.0,0.0,0.7635366557636104
42,0.0,0.0,0.0,0.7689275868523605
43,0.0,0.0,0.0,0.7727884037058159
44,0.0,0.0,0.0,0.7770261020574977
45,0.0,0.0,0.0,0.7831989093898176
46,0.0,0.0,0.0,0.7878952926006334
47,0.0,0.0,0.0,0.793555629103517
48,0.0,0.0,0.0,0.801005177844975
49,0.0,0.0,0.0,0.8053212963690118
50,0.0,0.0,0.0,0.8103253680118805
51,0.0,0.0,0.0,0.8193120765182028
52,0.0,0.0,0.0,0.8332716031910892
53,0.0,0.0,0.0,0.8484933604486492
54,0.0,0.0,0.0,0.8606125774104285
55,0.0,0.0,0.0,0.8687898003040901
56,0.0,0.0,0.0,0.8774434052296027
57,0.0,0.0,0.0,0.888617122823606
58,0.0,0.0,0.0,0.9018082913831427
59,0.0,0.0,0.0,0.9126375528728008
60,0.0,0.0,0.0,0.9197760162445877
61,0.0,0.0,0.0,0.9271074165253494
62,0.0,0.0,0.0,0.9309259601196433
63,0.0,0.0,0.0,0.9279875540268049
64,0.0,0.0,0.0,0.9222909704101228
65,0.0,0.0,0.0,0.9192115619321887
66,0.0,0.0,0.0,0.9170544380303826
67,0.0,0.0,0.0,0.9123295668547571
68,0.0,0.0,0.0,0.9020415714196395
69,0.0,0.0,0.0,0.891185225171122
70,0.0,0.0,0.0,0.8845872523157362
71,0.0,0.0,0.0,0.881713725255208
72,0.0,0.0,0.0,0.8796250547538028
73,0.0,0.0,0.0,0.8780573816369289
74,0.0,0.0,0.0,0.8784507401546031
75,0.0,0.0,0.0,0.8814830460808872
76,0.0,0.0,0.0,0.8854956916074775
77,0.0,0.0,0.0,0.8886834512666034
78,0.0,0.0,0.0,0.8913052051890099
79,0.0,0.0,0.0,0.8951469548840884
80,0.0,0.0,0.0,0.90060892539225
81,0.0,0.0,0.0,0.906919843561644
82,0.0,0.0,0.0,0.9121368939878927
83,0.0,0.0,0.0,0.9154486022997337
84,0.0,0.0,0.0,0.9176143342756227
85,0.0,0.0,0.0,0.9194407131259056
86,0.0,0.0,0.0,0.9209007701019782
87,0.0,0.0,0.0,0.9213385473199754
88,0.0,0.0,0.0,0.9213762432065639
89,0.0,0.0,0.0,0.92218144241682
90,0.0,0.0,0.0,0.9238636351396033
91,0.0,0.0,0.0,0.9260340749707774
92,0.0,0.0,0.0,0.9277827709729617
93,0.0,0.0,0.0,0.9284859083898964
94,0.0,0.0,0.0,0.928602204718974
95,0.0,0.0,0.0,0.9301041154689219
96,0.0,0.0,0.0,0.9328334610228707
97,0.0,0.0,0.0,0.9356748951380196
98,0.0,0.0,0.0,0.9374026138434745
