Time (s),Ux,Uy,Uz,p
1,0.0,0.4024901423516556,0.0,0.18747345877399157
2,0.1808480808405833,0.8416527942529813,0.2627314938961168,0.0
3,0.401196193565747,0.9792883191342316,0.4216430443230343,0.4372379723114021
4,0.5913748210312815,1.0,0.5261732174763226,0.8626523960705477
5,0.7511528276797137,0.9799611306809647,0.5970973362157986,0.8596415285830148
6,0.8753856419943925,0.9500313618577446,0.6471383779810465,0.5818279361636379
7,0.9532741770672989,0.9195940413822212,0.6804257120401593,0.42242215691341817
8,0.9890137127144275,0.8915335714160637,0.7025824978018105,0.5564343193715742
9,1.0,0.8669304410959205,0.7161692590599313,0.811532951524289
10,0.9972209989315414,0.8451607545110709,0.7277055834247699,0.9226944996618105
11,0.9898844768178964,0.8250536683363129,0.7388562791695366,0.8272741959462757
12,0.9821593917486289,0.8057361203139246,0.7498929266965246,0.6751841440523662
13,0.9735554411224051,0.7869073214932594,0.7599864710898738,0.627601105879351
14,0.9626442865934178,0.768833108815656,0.768229681245591,0.6996498475512438
15,0.9495630824973871,0.7517347506392241,0.7755962310692746,0.7854137096073901
16,0.9360123068528816,0.7355441268083558,0.7823760984871511,0.7950720853558166
17,0.9246062510053229,0.7200037693967082,0.7888342688754506,0.7401562602154895
18,0.9173098221326629,0.7050253988152931,0.7947239602782534,0.6923688613355529
19,0.9117948450693631,0.6904100131844597,0.7993907670004954,0.6963823737153298
20,0.9077440416774011,0.6762533265522335,0.8029853865878005,0.7350609997546024
21,0.9036542076434166,0.6626020088212418,0.8056953862390664,0.7645322089733615
22,0.8984520122262923,0.6494135698249595,0.8075283740546596,0.7617631435594517
23,0.8918916580598237,0.6366811457623588,0.8081977459375916,0.7397716512221927
24,0.8838551388796106,0.6243471326175426,0.8078912814305463,0.7249082728904003
25,0.8743277246123573,0.6123978034246262,0.806213892320318,0.7285002189229536
26,0.8643008656588733,0.6008126927452001,0.803445158477393,0.7426489634177534
27,0.8536623734212394,0.5896150582340749,0.7998087247189509,0.7517864138100699
28,0.841818401376748,0.5787931991749303,0.7956952133055688,0.7482081806892357
29,0.828185976338925,0.5682789566049067,0.7911723327614074,0.7378905311967902
30,0.8141229911517966,0.5580600642391128,0.7863599649324985,0.7319147842448885
31,0.7997090886956943,0.5481241081977164,0.7813852985446946,0.7351080488749736
32,0.785210577517699,0.5384943054197069,0.7763252674267036,0.7423316199079438
33,0.7703096262157184,0.5291444139059709,0.7712089860339644,0.7467678964064861
34,0.7553974427740047,0.5200399301576897,0.7661367850014947,0.7466821479919217
35,0.7409200206706157,0.511087574171027,0.7612063142580721,0.7474790807238592
36,0.7271997616591731,0.5023598207885672,0.7564419295582011,0.752152311313076
37,0.7142583133409086,0.4938409396975551,0.7518680027077295,0.757957221817417
38,0.7021949283501606,0.4855792116212927,0.747483803540407,0.7637765265576089
39,0.6909248549768489,0.47742603389978583,0.7432986455142238,0.7696743297385684
40,0.6802207734220138,0.4694527324253352,0.739383255271124,0.7774359820784217
41,0.6702407865757938,0.46163967707053555,0.7357388752994711,0.7836202550015469
42,0.6610607345618905,0.45400650750555527,0.7323581151795043,0.7861608727828524
43,0.6527286564080987,0.4465785178137318,0.7292277846232326,0.7872032484705883
44,0.6453173848621467,0.4393215391296074,0.7263304420201321,0.7886899815218592
45,0.6387033478577401,0.4321754704107655,0.7236370936551996,0.7923501324217347
46,0.6326217931649404,0.4251863447385536,0.7211224991166548,0.7937653163654375
47,0.6267176146635948,0.41829960287895246,0.7188003528568465,0.7963824316979548
48,0.6211185790052508,0.4115201848092207,0.7166378457655226,0.8018232979870049
49,0.6159789315788124,0.40481899969340773,0.7147212232550478,0.8037518029393902
50,0.6111229906963311,0.39822565813070415,0.7130708050950818,0.8074203072983371
51,0.6062822456166171,0.3918571023934987,0.7116617588779568,0.81720463360317
52,0.6015761533477764,0.38565284591121557,0.7105087047851091,0.8332454720563196
53,0.5971769742799531,0.37957600585276946,0.7096212228953745,0.8492807442487524
54,0.5932333946373586,0.3736546589751217,0.7090559697516537,0.8595035444123384
55,0.5896483302248028,0.36789816228868044,0.7088201068691133,0.8641859182621723
56,0.5863678059249502,0.36225729733333,0.7089626884516633,0.8706825852873303
57,0.5833068122280861,0.3567312612434807,0.7095569842946559,0.8824933918845811
58,0.5804671585618744,0.3513478654868718,0.7105778279721802,0.8985981496129476
59,0.5778587603225687,0.3461013780357741,0.7120319832034914,0.9111290814280529
60,0.5755194127761875,0.34099754491399015,0.713900379997068,0.9168794157696923
61,0.5734716223749102,0.3359868709208919,0.71609458056746,0.9208038209596048
62,0.5716853557894577,0.3310377764643739,0.718487991645182,0.9193583230359414
63,0.5700333533497214,0.3261996320528028,0.7209620426033817,0.9104104564432569
64,0.5685316395434202,0.32139590525505507,0.7234070454688825,0.9015283297517518
65,0.5669874991629028,0.3166219360152679,0.7257048729891342,0.9002218863968756
66,0.5655330387724097,0.3118842865827499,0.7277827871323937,0.9013665999769456
67,0.5643629793172258,0.3071289734709726,0.7296114356323978,0.8973740196329059
68,0.563831978382345,0.3024207030662786,0.731151980301019,0.8823850849171616
69,0.5640724907864871,0.29769859754426664,0.7323328782836724,0.8646314680642008
70,0.5649142582387419,0.29297614848228737,0.7331543828544373,0.8534766762035795
71,0.5660777729940448,0.2882742424733342,0.7337409532719414,0.8491592693071605
72,0.5676716791373334,0.28360566492929684,0.7342035289574176,0.8474245403374084
73,0.5699392183718448,0.27897217999145735,0.7346031518446329,0.8472900445603032
74,0.5729760050711958,0.27437758123157385,0.734932894911423,0.8497811594594163
75,0.5767176254844077,0.26984276923865663,0.7352046535483989,0.8542578800748785
76,0.5810075245419958,0.26538601079545976,0.7354693394085947,0.8574056511708258
77,0.5857372822333567,0.2610092481750511,0.7358001633842196,0.8570254092160318
78,0.5909369711605496,0.2567113025264874,0.7362445441310608,0.85529631344468
79,0.596553236973937,0.2524934029593388,0.7368227638597691,0.8570619808470885
80,0.6025482420086452,0.24836585885314205,0.7375230870138673,0.8635862175642419
81,0.6087289786746207,0.2443380768407611,0.7383216968859448,0.8727604325911852
82,0.6149225508146128,0.24041675531508452,0.7392098189047183,0.8799325329018013
83,0.6211094676538615,0.2365428283068514,0.7401866891439136,0.882983773192698
84,0.6271475684370121,0.2326619312546985,0.7412362872601137,0.883693248325983
85,0.6330966522798454,0.22885891280133536,0.7423324576288474,0.8841858785215845
86,0.6388220857589063,0.22513905646401622,0.7434659087023325,0.8847235390931484
87,0.6442389059769756,0.2215161572804087,0.7446372577527984,0.8841096097969595
88,0.6493765675960831,0.2179331087313611,0.7458378775517295,0.8832482452466385
89,0.6542312716673345,0.21439609071890647,0.7470674821625779,0.8844658774606873
90,0.6588239596351338,0.21090660145896212,0.7483382160013342,0.8878730187882433
91,0.6630237451256015,0.20746875770528625,0.7496344076745974,0.8926001506215521
92,0.6667414541522424,0.20408117448293253,0.750969421654468,0.8964373690244193
93,0.6699474514471357,0.20073826290581662,0.7523497519605417,0.897863792364222
94,0.6726879403722339,0.19744565321202942,0.7537927441971948,0.8979174748772953
