Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",-2.186824227382e+01,1.983182194671e+02,1.056171028199e+02,-2.172823646116e+01,2.472775259757e+02,1.060620089219e+02,1.400058126610e-01,4.895930650863e+01,4.449061020348e-01
"                   2",-6.365286072746e+01,3.725915622104e+02,1.899298675121e+02,-6.355360158677e+01,4.188080631385e+02,1.898736283523e+02,9.925914068405e-02,4.621650092817e+01,-5.623915987844e-02
"                   3",-4.977688149793e+01,2.842984328197e+02,1.890090984081e+02,-4.968464471951e+01,3.272100524866e+02,1.888922087774e+02,9.223677841653e-02,4.291161966688e+01,-1.168896306935e-01
"                   4",7.706226396833e-02,4.164694968821e+01,1.235752175269e+02,1.507598425947e-01,8.181689915045e+01,1.233672202468e+02,7.369757862641e-02,4.016994946224e+01,-2.079972800793e-01
"                   5",3.763010946185e+01,-8.847202945011e+01,6.335977411560e+01,3.768821847116e+01,-5.094696923898e+01,6.316462242740e+01,5.810900931136e-02,3.752506021113e+01,-1.951516881968e-01
"                   6",3.542444314312e+01,3.608746914707e+00,6.059962312771e+01,3.548759541871e+01,3.871191392520e+01,6.043089435979e+01,6.315227558386e-02,3.510316701050e+01,-1.687287679234e-01
"                   7",4.321197543630e+00,1.970349969959e+02,1.069412793414e+02,4.401813703923e+00,2.300708309611e+02,1.067772276065e+02,8.061616029238e-02,3.303583396517e+01,-1.640517349426e-01
"                   8",-2.403636590058e+01,3.085002562848e+02,1.575051627856e+02,-2.393195924032e+01,3.398213190654e+02,1.573022469208e+02,1.044066602550e-01,3.132106278056e+01,-2.029158647895e-01
"                   9",-2.804575309695e+01,2.745332862410e+02,1.754038636372e+02,-2.792442987866e+01,3.043834613353e+02,1.751372251676e+02,1.213232182829e-01,2.985017509433e+01,-2.666384695596e-01
"                  10",-1.240336205001e+01,1.747087213022e+02,1.571086234525e+02,-1.228371530993e+01,2.032634995666e+02,1.567899294590e+02,1.196467400775e-01,2.855477826439e+01,-3.186939934698e-01
"                  11",3.042032831365e+00,1.215425863319e+02,1.270408863946e+02,3.152996690500e+00,1.489293656951e+02,1.266827150523e+02,1.109638591351e-01,2.738677936320e+01,-3.581713423128e-01
"                  12",4.529967391423e+00,1.483858069904e+02,1.121644628243e+02,4.631231516503e+00,1.747342923643e+02,1.117753691408e+02,1.012641250799e-01,2.634848537390e+01,-3.890936834814e-01
"                  13",-5.669709338856e+00,2.078675654268e+02,1.193725562735e+02,-5.573834419022e+00,2.333301042800e+02,1.189564988210e+02,9.587491983368e-02,2.546253885327e+01,-4.160574524781e-01
"                  14",-1.666954541514e+01,2.418033425346e+02,1.368811892383e+02,-1.657365186089e+01,2.665112881173e+02,1.364437312752e+02,9.589355424447e-02,2.470794558269e+01,-4.374579631127e-01
"                  15",-1.922559595131e+01,2.330425287242e+02,1.494203799053e+02,-1.913117224793e+01,2.570940850336e+02,1.489666387835e+02,9.442370337629e-02,2.405155630942e+01,-4.537411217627e-01
